filename,pesq,estoi,si_sdr,si_sir,si_sar
bbaf5a.wav,1.1166486740112305,0.07589669297902484,0.15255703002355814,2.408658927599169,-2.4272007063492844
bbal6n.wav,1.1441940069198608,0.051265936979810335,-3.9263472498033107,2.410278236880462,-5.209705112609223
bbaszn.wav,1.3100389242172241,0.04745241400697705,-2.055702435940307,2.3353114430738553,-3.869693256548513
bbaz7a.wav,1.113825798034668,0.042759437796773506,-4.4141503784997305,3.817936024105702,-5.474247274755406
bbbs6p.wav,1.1309252977371216,0.11842380540907053,1.3794785916659544,3.1347207849298235,-1.620049703120695
bbizzn.wav,1.1326625347137451,0.20197767176146494,-0.0003605319419540295,2.8461862582390647,-2.519478814484592
bbwg2p.wav,1.1220344305038452,0.0496576867763623,-0.48859158507029826,3.393443690207827,-2.6373430585725206
bbws9s.wav,1.1454625129699707,0.0722947201158927,-4.8803171658246285,8.575610246610623,-5.52985221298766
bgbh6p.wav,1.1938118934631348,0.14205356872963185,2.0787965187362336,2.945922478957907,-1.2827470330737787
bgbh7a.wav,1.0797781944274902,0.09188231985280636,0.9812298397893087,1.4977503236511995,-2.240438626072224
brwt7a.wav,1.1925244331359863,-0.01309741391127931,-2.8810234297819943,4.302385080425449,-4.24994404659026
bwbn3s.wav,1.0865017175674438,0.12355647904063985,-1.1022611125450934,4.52870217479371,-2.9253250700543623
bwis9s.wav,1.1368458271026611,0.12888957611143478,-0.024287061114094836,5.278014437226948,-1.9889261392115576
lbad9a.wav,1.144547462463379,0.03916023042864509,-2.4147768478188616,4.494661465499166,-3.8348560096766926
lbij9a.wav,1.1639076471328735,0.12458393451745879,-3.7620518080710896,4.321234072079159,-4.9282848297434825
lgbs9a.wav,1.2058615684509277,0.07877677567909604,-9.17570756128802,17.139578519792636,-9.293071783232323
lrid8n.wav,1.1130626201629639,0.10599810362581712,-0.48754368055289077,4.419786421667659,-2.503464295673445
pgbk7s.wav,1.071502923965454,0.18366255311549998,-3.4776046409090866,2.778561284683697,-4.857203773579667
pgid6p.wav,1.1179225444793701,0.1539058571835006,0.11652508266033437,3.7399168123805127,-2.2317946287931
prap5s.wav,1.1142311096191406,0.12019876318528148,-2.4609904432563776,3.0137913957065514,-4.080677220694592
prip2p.wav,1.1094402074813843,0.10301377935222045,-2.73058938675067,3.1258786025074503,-4.195620842300682
pwaj8p.wav,1.2007043361663818,0.15188841004118472,-1.0540663218466348,3.9670038169257023,-2.931613770463976
pwbx9s.wav,1.1029233932495117,0.19501186399950426,-4.403408587123494,5.413974532220034,-5.3644293949344615
sgav4n.wav,1.1343754529953003,0.06749494018315975,-0.9177360122378011,2.736050867449855,-3.109555306604796
sgwj4n.wav,1.137477993965149,0.16796394330536243,0.051758879441948825,2.9557844854981905,-2.4555984454205557
srau3s.wav,1.1964079141616821,0.1130196234837672,-4.629475226174971,4.655921139365252,-5.572737682233959
srau5a.wav,1.1884766817092896,0.1434961086398737,-3.5122407128762583,4.8745687369635435,-4.6818799682895476
srwvzn.wav,1.1121494770050049,0.15216069824118486,-4.371267443752476,4.6735049087178755,-5.3898838337183825
swbc2p.wav,1.1112685203552246,0.10216182411704265,-3.9748260632819337,6.078564848614079,-4.899175517484898
swib3s.wav,1.1191728115081787,0.15983456617160696,0.3810918086346269,2.637056568865895,-2.3188903089048725
swio2p.wav,1.145047664642334,0.22199220681869306,-0.2201828608091241,2.8803820533511963,-2.6104526423217767
